id,k,v,type
137344963.0,highway,turning_circle,tag
137345244.0,noexit,yes,tag
137346202.0,highway,turning_circle,tag
137346653.0,highway,turning_circle,tag
137347033.0,highway,turning_circle,tag
137347033.0,source,Bing,tag
137347166.0,highway,turning_circle,tag
137347205.0,highway,turning_circle,tag
137347827.0,highway,turning_circle,tag
137347885.0,highway,turning_circle,tag
137348235.0,highway,turning_circle,tag
137348248.0,highway,turning_circle,tag
137348389.0,highway,turning_circle,tag
137348615.0,highway,turning_circle,tag
137348699.0,highway,turning_circle,tag
137348823.0,highway,turning_circle,tag
137349290.0,highway,turning_circle,tag
137349300.0,highway,turning_circle,tag
137349356.0,highway,turning_circle,tag
137349753.0,highway,turning_circle,tag
137349944.0,highway,turning_circle,tag
137349962.0,highway,turning_circle,tag
137350924.0,highway,turning_circle,tag
137351160.0,highway,turning_circle,tag
137351160.0,source,Yahoo,tag
137351429.0,highway,turning_circle,tag
137352115.0,highway,turning_circle,tag
137354404.0,railway,level_crossing,tag
137354433.0,railway,level_crossing,tag
137354487.0,railway,level_crossing,tag
137354498.0,railway,level_crossing,tag
137354502.0,crossing:barrier,half,tag
137354502.0,crossing:bell,yes,tag
137354502.0,crossing:light,yes,tag
137354502.0,railway,level_crossing,tag
137354598.0,bicycle,yes,tag
137354598.0,crossing,uncontrolled,tag
137354598.0,crossing:barrier,no,tag
137354598.0,crossing:light,no,tag
137354598.0,railway,crossing,tag
137354626.0,FIXME,This location of ownership change is estimated,tag
137354626.0,railway,owner_change,tag
137354720.0,crossing:barrier,half,tag
137354720.0,crossing:bell,yes,tag
137354720.0,crossing:light,yes,tag
137354720.0,railway,level_crossing,tag
137355467.0,crossing:barrier,double_half,tag
137355467.0,crossing:bell,yes,tag
137355467.0,crossing:light,yes,tag
137355467.0,railway,level_crossing,tag
137355565.0,railway,level_crossing,tag
137355579.0,crossing:barrier,double_half,tag
137355579.0,crossing:bell,yes,tag
137355579.0,crossing:light,yes,tag
137355579.0,railway,level_crossing,tag
137356677.0,highway,turning_circle,tag
137356677.0,source,Yahoo,tag
137357473.0,highway,turning_circle,tag
137357804.0,highway,turning_circle,tag
137358064.0,highway,turning_circle,tag
137358213.0,highway,turning_circle,tag
137358213.0,source,Bing,tag
137358234.0,highway,turning_circle,tag
137358457.0,highway,crossing,tag
137359024.0,highway,turning_circle,tag
137359277.0,highway,turning_circle,tag
137360459.0,highway,turning_circle,tag
137360529.0,highway,turning_circle,tag
137361181.0,highway,turning_circle,tag
137361193.0,highway,turning_circle,tag
137361203.0,highway,turning_circle,tag
137361578.0,barrier,gate,tag
137361851.0,highway,turning_circle,tag
137361851.0,source,Yahoo,tag
137362177.0,highway,turning_circle,tag
