id,user,uid,version,changeset,timestamp
14292302.0,TheDutchMan13,1330847.0,10,65565692.0,2018-12-17T23:14:36Z
14292308.0,TheDutchMan13,1330847.0,5,49150987.0,2017-06-01T01:13:09Z
14292316.0,TheDutchMan13,1330847.0,14,68821051.0,2019-04-03T03:39:12Z
14292343.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:11Z
14292347.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:13:11Z
14292351.0,alimamo,7213.0,3,14692744.0,2013-01-18T05:48:30Z
14292361.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:11Z
14292370.0,TheDutchMan13,1330847.0,3,49173735.0,2017-06-01T18:46:29Z
14292387.0,ukrainian_falcon,7736637.0,4,57671319.0,2018-03-30T19:43:57Z
14292395.0,TheDutchMan13,1330847.0,5,49150987.0,2017-06-01T01:13:13Z
14292397.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:13:13Z
14292399.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:13Z
14292401.0,balrog-kun,20587.0,2,4250464.0,2010-03-27T22:58:40Z
14292410.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:14Z
14292418.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:13:14Z
14292424.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:14Z
14292429.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:15Z
14292431.0,TheDutchMan13,1330847.0,4,49173735.0,2017-06-01T18:46:29Z
14292433.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:13:15Z
14292445.0,maxerickson,360392.0,5,56198665.0,2018-02-08T22:10:40Z
14292446.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:15Z
14292452.0,TheDutchMan13,1330847.0,6,49150987.0,2017-06-01T01:13:15Z
14292459.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:13:16Z
14292466.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:13:16Z
14292474.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:13:16Z
14292480.0,TheDutchMan13,1330847.0,6,49150987.0,2017-06-01T01:13:17Z
14292486.0,TheDutchMan13,1330847.0,4,63697454.0,2018-10-20T07:34:47Z
14292488.0,balrog-kun,20587.0,2,4250464.0,2010-03-27T22:58:52Z
14292489.0,TheDutchMan13,1330847.0,5,49150987.0,2017-06-01T01:13:17Z
14292515.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:18Z
14292524.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:13:18Z
14292543.0,hoream_telenav,4437318.0,4,59600073.0,2018-06-06T11:58:37Z
14292546.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:19Z
14292547.0,TheDutchMan13,1330847.0,3,49173735.0,2017-06-01T18:46:31Z
14292551.0,TheDutchMan13,1330847.0,5,49150987.0,2017-06-01T01:13:19Z
14292552.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:19Z
14292563.0,swappa,8369524.0,4,69197663.0,2019-04-14T09:46:24Z
14292621.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:22Z
14292634.0,KristenK,1494110.0,5,18118723.0,2013-09-30T21:41:00Z
14292654.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:23Z
14292656.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:13:23Z
14292657.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:23Z
14292663.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:23Z
14292713.0,TheDutchMan13,1330847.0,2,49173735.0,2017-06-01T18:46:34Z
14292723.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:25Z
14292734.0,TheDutchMan13,1330847.0,7,49150987.0,2017-06-01T01:13:26Z
14292741.0,TheDutchMan13,1330847.0,3,64428650.0,2018-11-13T04:36:46Z
14292775.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:27Z
14292776.0,InessaZavada,7769669.0,5,57515045.0,2018-03-25T18:35:49Z
14292784.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:27Z
14292786.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:28Z
14292803.0,TheDutchMan13,1330847.0,5,49150987.0,2017-06-01T01:13:29Z
14292837.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:13:29Z
14292861.0,ukrainian_falcon,7736637.0,6,57691797.0,2018-03-31T15:50:55Z
14292872.0,TheDutchMan13,1330847.0,2,49150987.0,2017-06-01T01:13:31Z
14292873.0,TheDutchMan13,1330847.0,2,49150987.0,2017-06-01T01:13:31Z
14292877.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:31Z
14292888.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:32Z
14292908.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:32Z
14292917.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:33Z
14292942.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:33Z
14292946.0,shpakudza,6794149.0,3,57549026.0,2018-03-26T21:11:19Z
14292948.0,TheDutchMan13,1330847.0,8,49150987.0,2017-06-01T01:13:33Z
14292953.0,TheDutchMan13,1330847.0,5,49150987.0,2017-06-01T01:13:33Z
14292959.0,TheDutchMan13,1330847.0,3,49173735.0,2017-06-01T18:46:39Z
14292975.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:34Z
14292978.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:34Z
14292990.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:34Z
14292999.0,TheDutchMan13,1330847.0,5,49150987.0,2017-06-01T01:13:34Z
14293019.0,TheDutchMan13,1330847.0,4,68821051.0,2019-04-03T03:39:11Z
14293040.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:35Z
14293041.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:35Z
14293092.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:36Z
14293144.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:37Z
14293153.0,Charims,9627020.0,6,69203626.0,2019-04-14T14:12:10Z
14293157.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:13:38Z
14293206.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:13:39Z
